vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,gross_vehicle_weight,co2_emission_from_kg,co2_emission_to_kg,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
GEGCUB0_2025,AUDI AG,DE,Audi,Q8 SUV,Q8 SUV e-tron S line 50 e-tron quattro,2025,,,e-tron,,,,,,,S line 50 e-tron quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,250,,,250 kW,,,,,,,3170 kg,,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.engine_compare.gegbub_0.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.modelsinfo.mv-502.88.979370.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.carinfo.mv-502.88.979370.json
GEGCVC0_2025,AUDI AG,DE,Audi,Q8 SUV,Q8 SUV e-tron S line 55 e-tron quattro,2025,,,e-tron,,,,,,,S line 55 e-tron quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,300,,,300 kW,,,,,,,"3,180 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.engine_compare.gegbub_0.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.modelsinfo.mv-502.88.979370.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.carinfo.mv-502.88.979370.json
GEGSWC0_2025,AUDI AG,DE,Audi,SQ8 SUV,SQ8 SUV e-tron e-tron quattro,2025,,,e-tron,,,,,,,SQ8 SUV  e-tron,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,370,,,370 kW,,,,,,,"3,290 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-suv-e-tron.engine_infolayer.gegswc_0.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-suv-e-tron.modelsinfo.mv-502.89.718821.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-suv-e-tron.carinfo.mv-502.89.718821.json
8YFADC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 30 TDI Schaltgetriebe,2025,,,Sportback,,,,,,,30 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,905 kg",117,127,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFANC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 30 TFSI Schaltgetriebe,2025,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,830 kg",126,137,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFANG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 30 TFSI S tronic,2025,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,865 kg",120,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFARG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 35 TDI S tronic,2025,,,Sportback,,,,,,,35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,960 kg",126,139,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFAYC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 35 TFSI Schaltgetriebe,2025,,,Sportback,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,845 kg",126,139,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFAYG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback 35 TFSI S tronic,2025,,,Sportback,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,880 kg",119,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBDC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 30 TDI Schaltgetriebe,2025,,,Sportback,,,,,,,advanced 30 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,905 kg",117,127,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBNC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 30 TFSI Schaltgetriebe,2025,,,Sportback,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,830 kg",126,137,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBNG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 30 TFSI S tronic,2025,,,Sportback,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 kW,,,,,,,"1,865 kg",120,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBRG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 35 TDI S tronic,2025,,,Sportback,,,,,,,advanced 35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,960 kg",127,139,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBYC1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 35 TFSI Schaltgetriebe,2025,,,Sportback,,,,,,,advanced 35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,845 kg",127,139,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
8YFBYG1_2025,AUDI AG,DE,Audi,A3,A3 Sportback advanced 35 TFSI S tronic,2025,,,Sportback,,,,,,,advanced 35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 kW,,,,,,,"1,880 kg",120,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.engine_compare.8YFAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.modelsinfo.mv-502.86.275803.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-sportback.carinfo.mv-502.86.275803.json
