vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,seat_count,gross_vehicle_weight,co2_emission_from_kg,co2_emission_to_kg,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
GBACU42_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 25 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,S line 25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,630",124,129,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,5-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBACUG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 25 TFSI S tronic,2024,,,Sportback,,,,,,,S line 25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,675",127,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBACPC2_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 30 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,S line 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,660",125,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBACPG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 30 TFSI S tronic,2024,,,Sportback,,,,,,,S line 30 TFSI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,680",127,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBACHG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 35 TFSI S tronic,2024,,,Sportback,,,,,,,S line 35 TFSI,,,,Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung,,,110,150,,110 ,,,,,,,,"1,710",127,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBACFG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback S line 40 TFSI S tronic,2024,,,Sportback,,,,,,,S line 40 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,152,207,,152 ,,,,,,,,"1,775",146,149,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
8YMADC1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 30 TDI Schaltgetriebe,2025,,,Limousine,,,,,,,30 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,905",115,123,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMANC1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 30 TFSI Schaltgetriebe,2025,,,Limousine,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,830",123,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMANG1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 30 TFSI S tronic,2025,,,Limousine,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,865",118,127,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMARG1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 35 TDI S tronic,2025,,,Limousine,,,,,,,35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,960",125,136,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMAYC1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 35 TFSI Schaltgetriebe,2025,,,Limousine,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,845",124,136,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMAYG1_2025,AUDI AG,DE,Audi,A3,A3 Limousine 35 TFSI S tronic,2025,,,Limousine,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,880",118,129,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMBDC1_2025,AUDI AG,DE,Audi,A3,A3 Limousine advanced 30 TDI Schaltgetriebe,2025,,,Limousine,,,,,,,advanced 30 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,905",115,123,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung,,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMBNC1_2025,AUDI AG,DE,Audi,A3,A3 Limousine advanced 30 TFSI Schaltgetriebe,2025,,,Limousine,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,830",123,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
8YMBNG1_2025,AUDI AG,DE,Audi,A3,A3 Limousine advanced 30 TFSI S tronic,2025,,,Limousine,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,85,116,,85 ,,,,,,,,"1,865",118,127,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.engine_compare.8YMAYG1_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.modelsinfo.mv-552.28.472734.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-limousine.carinfo.mv-552.28.472734.json
